Review Title,Review Text,Star Rating,Date,Author,Tokenised_Review
KFC in Hastings East Sussex,"I went to KFC in Hastings East Sussex town centre branch on Saturday 14th March to meet some friends and have a bite to eat. My legs don't really work now, disabled, so I checked the website which it said was disabled wheelchair friendly and could be accessible for me. Yeah right! I got there and there were 2 large open out wooden doors with pull written on them. Mmm! Someone very kindly let me in and somehow I wedged myself in. Disabled access/friendly? I wasn't the only person in there with concerns,it was chaos. Ok it was a Saturday and busy, but it wasn't a pleasant experience, the food was ok but the premises wasn't particularly the cleanest, and to add insult to injury if you will someone right by the now open doors was smoking a joint which filled the restaurant with its awful smell. I have put a complaint into the KFC website and am awaiting a phonecall, but we shall see. I don't play the disabled card, but think something needs to change here.",2,2026-03-14,Dominic Press,hastings east sussex town centre saturday th march meet friend bite eat leg disabled checked website disabled wheelchair friendly could accessible right large open wooden door pull written mmm someone kindly let somehow wedged disabled accessfriendly wasnt person concernsit chaos saturday busy wasnt pleasant food premise wasnt particularly cleanest add insult injury someone right open door smoking joint filled restaurant awful smell put complaint website awaiting phonecall shall play disabled card need change
Excellent,"Excellent, good service",5,2026-03-18,kayleigh,excellent service
Amazing food,Amazing food ,5,2026-03-17,Anonymous,amazing food
Tracey looked after me and my autistic…,Tracey looked after me and my autistic son whilst we came In for food ,5,2026-03-17,Jess,tracey looked autistic son whilst came food
Just received our order from KFC in…,"Just received our order from KFC in Ashton. NOT surprising food cold and warming it up and no drink. 
",1,2026-03-15,Tina,received ashton surprising food cold warming drink
Very poor customer service ,Just waited 20 minutes at KFC Yeovil at the kiosk to pay. The assistant was on her headset the whole time walked off frequently without acknowledging we were even there !!! Wont be visiting again very poor customer service !!!,1,2026-03-15,Sheelagh Walton,waited minute yeovil kiosk pay assistant headset whole walked frequently without acknowledging wont visiting poor customer service
Didn't get the herby fries as shown on picture ,"Didn't get the herby fries, as shown on image. Instead, we got basic soggy non salted tasteless crap fries. I used to rave for the herby crispy fries, but nothing special about these tasteless fries, and £2.99 for large. FFS, stop taking the piss. It's one size for large or small. Will not buy again. ",1,2026-03-14,Helen Atkinson,herby fry shown image instead basic soggy non salted tasteless crap fry rave herby crispy fry nothing special tasteless fry large ffs stop taking piss size large small buy
Outstanding taste,Outstanding taste ,5,2026-03-14,Nawaf Ali,outstanding taste
Fantastic lavish service nd food everr,Fantastic lavish service nd food everr,5,2026-03-13,Asad Bhinder,fantastic lavish service nd food everr
Waited nearly 20 minutes at kfc…,Waited nearly 20 minutes at kfc keynsham for order got ignored 3 times when I asked where my order was then tried to give me fries that had been left on side from a previous order rude and arrogant staff ,1,2026-03-14,Tony L,waited nearly minute keynsham ignored time asked tried give fry left side previous rude arrogant staff
disgusting undercooked food wallsend,"I would have given less stars but it would let me leave the review,I spent approx£30 i bought a large mighty bucket for 1 it was stuffed into a paper bag,the chicken was undercooked the chips were horrible,and I bought a triology meal it was just thrown together nothing nice about that either the chicken was undercooked in that one as well.im seriously thinking of getting intouch with food safety standards this shop really needs looking into this shop is only using KFC name its not actually KFC the food is just like what you buy in Iceland ",1,2026-03-13,MISSROBERTINAPROUT,given less star let leave reviewi spent approx bought large mighty bucket stuffed paper bagthe undercooked chip horribleand bought triology meal thrown together nothing either undercooked wellim seriously thinking getting intouch food safety standard shop need looking shop using name food buy iceland
We got a takeaway from Crownhill KFC…,"We got a takeaway from Crownhill KFC and it was one of the worst ones we have ever had.  The food was nearly cold and the chicken was like it had been cooked in the morning and just rejeated in the evening, as it was dark and overdone.  There was also no variation in the chicken pieces, they were all drumsticks.  I do find that when we have delivery of anything, it always seem that they palm off any old rubbish as they know that there is very little you can do.  You can't really send it back when it has been delivered and the delivery driver has gone!  We won't get a takeaway from there again and if that is the standard of their food generally, we won't get it from there again either!",1,2026-03-13,Hazel Kinvig-Paul,takeaway crownhill worst one ever food nearly cold cooked morning rejeated evening dark overdone variation piece drumstick find delivery anything seem palm old rubbish little send delivered delivery driver gone wont takeaway standard food generally wont either
Great good ,Great food delivered seems as tho the chicken has improved cooked better as it used to be. Hope the standards keep up.,4,2026-03-13,linda nugent,great food delivered seems tho improved cooked hope standard keep
Absolutely ridiculous,"Absolutely ridiculous. Tried to put 2 separate orders for me and colleagues in for one car and was refused. Had to actually drive through twice!

We use different kfcs and never had this issue.  ",1,2026-03-12,Michelle Atkinson,absolutely ridiculous tried put separate order colleague car refused drive twice different kfcs never issue
Jasmine is the best at the Queensferry branch ,"I would like a personal review for the young lady called Jasmine, as she was super patient whilst I was ordering my food, as I was overwhelmed and very indecisive on what I wanted to order......Jasmine was so friendly and put me at ease, and made my experience super easy, which is a massive thing for me with me being neurodivergent.......Well done, KFC, on employing staff who understand......Thank Jasmine for making what normally is a stressful situation into a pleasant one......i hope you get to see this review and carry on being you......you superstar.",5,2026-03-11,Kelly Radcliffe,personal young lady called jasmine super patient whilst ordering food overwhelmed indecisive wanted orderjasmine friendly put ease made super easy massive neurodivergentwell done employing staff understandthank jasmine making normally stressful situation pleasant onei hope carry youyou superstar
I purchased food through the…,"I purchased food through the drive-through, but unfortunately my entire order was incorrect and the food was cold. The quality of the food was very disappointing and not up to the standard I expected. Overall, it was a very unpleasant experience.",1,2026-03-11,Amandeep kaur,purchased food drivethrough unfortunately entire incorrect food cold quality food disappointing standard expected overall unpleasant
Great food great delivery,Great food great delivery,5,2026-03-10,Sam,great food great delivery
Order placed at kiosk,"Order placed at kiosk, card payment beeped but didn't complete. Manager confirmed card issues at kiosk, order paid for, more waiting to receive completely the wrong order, took 40mins to leave with a simple order, which I then didnt have time to eat before an appointment. Ate quickly, cold chips despite asking for a fresh order due to delays. Didn't enjoy it at all, waste of money. Staff pleasant but didn't seem to be able to work efficiently and it wasn't even that busy. Won't be back! ",1,2026-03-09,denise difallah,placed kiosk card payment beeped complete manager confirmed card issue kiosk paid waiting receive completely wrong took min leave simple eat appointment ate quickly cold chip despite asking fresh due delay enjoy waste money staff pleasant seem able efficiently wasnt busy wont
It was a pleasure to be served today by…,"It was a pleasure to be served today by Bella and Damien. They were professional, polite and attentive.",5,2026-03-08,gareth williams,pleasure served bella damien professional polite attentive
Items not received in delivery ,"The order placed through your platform was for 8 Hot Wings, yet only 6 were delivered. This means the goods supplied were incomplete and not what I paid for. Your decision to refuse a refund or any corrective action is unacceptable.

Under Irish consumer law, including the Sale of Goods and Supply of Services Act 1980 and the Consumer Rights Act 2022, consumers are entitled to receive the goods they paid for. Where goods are missing or incorrectly supplied, the trader is required to provide an appropriate remedy such as a refund or replacement.

If this matter is not resolved promptly, I will proceed with escalating the issue. This will include submitting a formal complaint to the Competition and Consumer Protection Commission (CCPC) and initiating a chargeback through my bank for goods paid for but not supplied.

In addition, I intend to share my experience publicly through reviews and with others I interact with professionally. I work in retail and speak with a large number of customers and people daily, and I will be open about this experience and the outcome of this matter.

I have been a Just Eat customer for over 10 years, which makes this response particularly disappointing. I would strongly encourage you to review this matter again and resolve it appropriately.",1,2026-03-07,Keiran Brown,placed platform hot wing yet delivered mean good supplied incomplete paid decision refuse refund corrective action unacceptable irish consumer law including sale good supply service act consumer right act consumer entitled receive good paid good missing incorrectly supplied trader required provide appropriate remedy refund replacement matter resolved promptly proceed escalating issue include submitting formal complaint competition consumer protection commission ccpc initiating chargeback bank good paid supplied addition intend share publicly review others interact professionally retail speak large number customer daily open outcome matter eat customer year make response particularly disappointing strongly encourage matter resolve appropriately
